trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
61,0,61,0,104.8834057,105.8835976,105.8835976,0,up,1,0.5082998,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
62,0,62,0,106.4168857,107.4171272,107.4171272,-3,down,1,0.6118099,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
63,0,63,0,108.0500043,109.0503146,109.0503146,-3,down,1,0.632525,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
64,0,64,0,109.7299821,110.7334347,110.7334347,0,up,1,0.4583828,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
65,0,65,0,111.2166513,112.2168085,112.2168085,0,up,1,0.7040301,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
66,0,66,0,112.9497674,113.9499147,113.9499147,0,up,1,0.4748647,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
67,0,67,0,114.4495881,115.4496606,115.4496606,0,up,1,1.7612221,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
68,0,68,0,117.2329758,118.2329811,118.2329811,0,up,1,0.4091914,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
69,0,69,0,118.6661108,119.6662638,119.6662638,0,up,1,0.3049205,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
70,0,70,0,119.9993191,120.9997469,120.9997469,3,up,0,0.3530011,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
71,0,71,0,121.3830022,122.3830105,122.3830105,-5,down,1,0.0348249,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
72,0,72,0,122.4496629,123.4496444,123.4496444,0,up,1,0.6145049,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
73,0,73,0,124.0826202,125.0829696,125.0829696,-5,down,1,0.5301627,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
74,0,74,0,125.6326737,126.6330852,126.6330852,-4,down,1,0.5369867,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
75,0,75,0,127.1992667,128.1992523,128.1992523,0,up,1,0.6568912,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
76,0,76,0,128.882424,129.8827648,129.8827648,2,down,1,0.5714878,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
77,0,77,0,130.4822723,131.482886,131.482886,0,up,1,0.6207982,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
78,0,78,0,132.1325806,133.1327187,133.1327187,0,up,1,0.4879591,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
79,0,79,0,133.6681289,134.6657763,134.6825777,1,up,0,0.3508456,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
80,0,80,0,135.0487974,136.0491196,136.0491196,1,up,0,0.5936167,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
81,0,81,0,136.6654865,137.6658275,137.6658275,0,up,1,0.4503201,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
82,0,82,0,138.1487054,139.1491432,139.1491432,2,up,0,0.3912397,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
83,0,83,0,139.5651818,140.5657164,140.5657164,-4,down,1,0.5641353,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
84,0,84,0,141.148462,142.1487305,142.1487305,3,down,1,0.4480707,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
85,0,85,0,142.6153782,143.6154795,143.6154795,4,down,1,0.4663623,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
86,0,86,0,144.0912893,145.098493,145.098493,0,up,1,0.5292002,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
87,0,87,0,145.6483548,146.7081221,146.7081221,0,up,1,0.3575572,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
88,0,88,0,147.0981822,148.0987079,148.0987079,0,up,1,0.3570229,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
89,0,89,0,148.4816179,149.4817874,149.4817874,1,up,0,0.3710053,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
90,0,90,0,149.8814949,150.8818767,150.8818767,2,up,0,0.3828811,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
91,0,91,0,151.2814523,152.2817533,152.2817533,0,up,1,0.4597878,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
92,0,92,0,152.764701,153.7650789,153.7650789,-4,up,0,0.4306079,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
93,0,93,0,154.2146227,155.2149426,155.2149426,0,down,0,0.5360438,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
94,0,94,0,155.7811889,156.7817472,156.7817472,0,up,1,0.3312872,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
95,0,95,0,157.1384055,158.1315209,158.1481621,0,up,0,0.3945857,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
96,0,96,0,158.5479271,159.5482306,159.5482306,0,up,1,0.3549278,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
97,0,97,0,159.9311018,160.9314646,160.9314646,0,up,1,0.5368491,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
98,0,98,0,161.4977357,162.4978331,162.4978331,0,up,1,0.4985788,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
99,0,99,0,163.0143597,164.0146203,164.0146203,-1,up,0,0.1695591,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
100,0,100,0,164.2141613,165.2145087,165.2145087,-1,up,0,0.4515667,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
101,0,101,0,165.69736,166.697602,166.697602,-2,up,0,0.3875523,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
