trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
139,0,139,0,223.8616725,224.8620188,224.8620188,-1,up,0,0.456944,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
140,0,140,0,225.3449656,226.3451429,226.3451429,0,up,1,0.7430733,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
141,0,141,0,227.1115434,228.1120132,228.1120132,-5,down,1,0.414226,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
142,0,142,0,228.5448685,229.5451704,229.5451704,0,up,1,0.5040292,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
143,0,143,0,230.0780351,231.0782416,231.0782416,-3,down,1,0.6830214,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
144,0,144,0,231.7779876,232.778247,232.778247,0,up,1,0.4240032,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
145,0,145,0,233.2279941,234.2282266,234.2282266,0,up,1,0.3796008,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
146,0,146,0,234.6278213,235.6283406,235.6283406,-3,up,0,0.424539,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
147,0,147,0,236.0779827,237.0779738,237.0779738,-3,down,1,0.7149561,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
148,0,148,0,237.8108924,238.8112714,238.8112714,-5,down,1,0.4846707,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
149,0,149,0,239.3109294,240.311412,240.311412,0,down,0,0.5718005,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
150,0,150,0,240.910914,241.9112973,241.9112973,2,up,0,0.7600127,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
151,0,151,0,242.6942222,243.6944274,243.6944274,0,up,1,0.4396385,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
152,0,152,0,244.1608362,245.1612451,245.1612451,-4,up,0,0.3635422,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
153,0,153,0,245.5442207,246.5442307,246.5442307,0,up,1,0.5905795,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
154,0,154,0,247.1606234,248.1610484,248.1610484,-4,up,0,0.3687649,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
155,0,155,0,248.5606252,249.5610493,249.5610493,0,up,0,0.7456492,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
156,0,156,0,250.3270613,251.3274915,251.3274915,0,up,1,0.5032364,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
157,0,157,0,251.86054,252.8607775,252.8607775,4,down,1,0.0209054,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
158,0,158,0,252.910654,253.910714,253.910714,0,up,1,0.8870197,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
159,0,159,0,254.8269232,255.827356,255.827356,-4,down,1,0.7575285,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
